episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
149999,6,2,1,0,44,DOWN,-1.88,3,1,0,43,0,38.835894,41.569849,39.27415,0.438257,38.923545,0.2,0.99,0.05
149999,7,3,1,0,43,RIGHT,0.11,3,2,0,42,0,41.569849,41.905828,41.59677,0.026921,41.575233,0.2,0.99,0.05
149999,8,3,2,0,42,UP,0.1,2,2,0,41,0,41.905828,42.030789,41.710481,-0.195348,41.866759,0.2,0.99,0.05
149999,9,2,2,0,41,RIGHT,0.09,2,3,0,40,0,42.030789,43.539869,43.194471,1.163682,42.263525,0.2,0.99,0.05
149999,10,2,3,0,40,UP,0.08,1,3,0,39,0,43.539869,44.29734,43.934367,0.394497,43.618769,0.2,0.99,0.05
149999,11,1,3,0,39,RIGHT,0.07,1,4,0,38,0,44.29734,45.722153,45.334932,1.037592,44.504858,0.2,0.99,0.05
149999,12,1,4,0,38,RIGHT,0.06,1,5,0,37,0,45.722153,47.438493,47.024109,1.301955,45.982544,0.2,0.99,0.05
149999,13,1,5,0,37,LEFT,0.05,0,5,0,36,0,47.438493,48.65573,48.219173,0.780679,47.594629,0.2,0.99,0.05
149999,14,0,5,0,36,DOWN,-4.95,0,5,0,35,0,48.65573,49.942676,44.49325,-4.162481,47.823234,0.2,0.99,0.05
149999,15,0,5,0,35,UP,0.04,0,6,0,34,0,46.381631,51.018187,50.548005,4.166375,47.214906,0.2,0.99,0.05
149999,16,0,6,0,34,LEFT,-1.95,0,5,0,33,0,51.018187,51.608806,49.142718,-1.875469,50.643093,0.2,0.99,0.05
149999,17,0,5,0,33,RIGHT,-1.94,1,5,0,32,0,51.608806,46.793314,44.385381,-7.223425,50.164121,0.2,0.99,0.05
149999,18,1,5,0,32,RIGHT,0.05,0,5,0,31,0,46.793314,47.529139,47.103848,0.310534,46.855421,0.2,0.99,0.05
