episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
75000,43,5,11,1,7,DOWN,-1.0,6,11,1,6,0,-7.924717,-9.616081,-10.51992,-2.595204,-8.443757,0.2,0.99,0.4062
75000,44,6,11,1,6,UP,-1.0,5,11,1,5,0,-9.616081,-17.685029,-18.508179,-8.892098,-11.394501,0.2,0.99,0.4062
75000,45,5,11,1,5,DOWN,-1.0,5,10,1,4,0,-17.685029,-21.629915,-22.413616,-4.728587,-18.630746,0.2,0.99,0.4062
75000,46,5,10,1,4,DOWN,-1.0,6,10,1,3,0,-21.629915,-21.36964,-22.155944,-0.526028,-21.735121,0.2,0.99,0.4062
75000,47,6,10,1,3,LEFT,-1.0,6,9,1,2,0,-21.36964,-21.064982,-21.854332,-0.484692,-21.466578,0.2,0.99,0.4062
75000,48,6,9,1,2,RIGHT,-1.0,6,10,1,1,0,-21.064982,-20.996511,-21.786546,-0.721564,-21.209295,0.2,0.99,0.4062
75000,49,6,10,1,1,DOWN,-25.0,6,10,1,0,1,-23.986173,0.0,-25.0,-1.013827,-24.188938,0.2,0.99,0.4062
149999,0,0,0,0,50,DOWN,-1.0,1,0,0,49,0,23.288897,24.553461,23.307926,0.019029,23.292703,0.2,0.99,0.05
149999,1,1,0,0,49,RIGHT,-1.0,1,1,0,48,0,24.553461,26.625373,25.359119,0.805658,24.714593,0.2,0.99,0.05
149999,2,1,1,0,48,LEFT,-1.0,1,0,0,47,0,26.625373,28.007177,26.727105,0.101732,26.64572,0.2,0.99,0.05
149999,3,1,0,0,47,RIGHT,-1.0,1,1,0,46,0,28.007177,29.690658,28.393752,0.386574,28.084492,0.2,0.99,0.05
149999,4,1,1,0,46,LEFT,-1.0,1,0,0,45,0,29.690658,31.000714,29.690707,4.8e-05,29.690668,0.2,0.99,0.05
149999,5,1,0,0,45,RIGHT,-1.0,1,1,0,44,0,31.000714,32.385432,31.061578,0.060864,31.012887,0.2,0.99,0.05
149999,6,1,1,0,44,DOWN,-1.0,2,1,0,43,0,32.385432,33.584825,32.248976,-0.136456,32.358141,0.2,0.99,0.05
