episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
188,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
189,0.05,-45.0,50,0,4,1,1,0,ENERGY_DEPLETED
190,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
191,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
192,0.05,90.0,44,1,4,0,1,6,GOAL_REACHED
193,0.05,97.0,49,1,1,0,1,1,GOAL_REACHED
194,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
195,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
196,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
197,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
198,0.05,76.0,50,1,6,0,1,0,GOAL_REACHED
199,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
200,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
201,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
202,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
203,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
204,0.05,99.0,47,1,1,0,1,3,GOAL_REACHED
205,0.05,-20.0,50,0,0,0,1,0,ENERGY_DEPLETED
206,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
207,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
208,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
209,0.05,-45.0,50,0,4,1,1,0,ENERGY_DEPLETED
210,0.05,76.0,50,1,6,0,1,0,GOAL_REACHED
211,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
212,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
213,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
214,0.05,65.0,49,1,9,0,1,1,GOAL_REACHED
215,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
216,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
217,0.05,97.0,49,1,1,0,1,1,GOAL_REACHED
218,0.05,76.0,50,1,6,0,1,0,GOAL_REACHED
219,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
