episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
54,0.9966,-214.0,50,0,35,0,0,0,ENERGY_DEPLETED
55,0.9966,-186.0,50,0,29,0,0,0,ENERGY_DEPLETED
56,0.9965,-170.0,50,0,24,0,0,0,ENERGY_DEPLETED
57,0.9964,-170.0,50,0,25,0,0,0,ENERGY_DEPLETED
58,0.9964,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED
59,0.9963,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED
60,0.9963,-174.0,50,0,25,0,0,0,ENERGY_DEPLETED
61,0.9962,-186.0,50,0,29,0,0,0,ENERGY_DEPLETED
62,0.9961,-198.0,50,0,32,0,0,0,ENERGY_DEPLETED
63,0.9961,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED
64,0.996,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED
65,0.996,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED
66,0.9959,-114.0,50,0,10,0,0,0,ENERGY_DEPLETED
67,0.9958,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED
68,0.9958,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED
69,0.9957,-162.0,50,0,22,0,0,0,ENERGY_DEPLETED
70,0.9956,-178.0,50,0,27,0,0,0,ENERGY_DEPLETED
71,0.9956,-170.0,50,0,24,0,0,0,ENERGY_DEPLETED
72,0.9955,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED
73,0.9955,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED
74,0.9954,-178.0,50,0,26,0,0,0,ENERGY_DEPLETED
75,0.9953,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED
76,0.9953,-170.0,50,0,24,0,0,0,ENERGY_DEPLETED
77,0.9952,-178.0,50,0,27,0,0,0,ENERGY_DEPLETED
78,0.9951,-210.0,50,0,34,0,0,0,ENERGY_DEPLETED
79,0.9951,-170.0,50,0,25,0,0,0,ENERGY_DEPLETED
80,0.995,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED
81,0.995,-202.0,50,0,33,0,0,0,ENERGY_DEPLETED
82,0.9949,-76.0,50,0,14,0,1,0,ENERGY_DEPLETED
83,0.9948,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED
84,0.9948,-174.0,50,0,26,0,0,0,ENERGY_DEPLETED
